lexrank,lexrank,text-davinci-003,text-davinci-003,bertscore,bertscore,simcse,simcse,gptpmi,gptpmi,perplexity,perplexity,rouge1,rouge1
ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap
0.4379523619977832,0.1833333333333333,0.8077237333316407,0.5833333333333334,0.7735197695972967,0.625,0.9471086030836026,1.0,0.8324583266939998,0.75,0.9050405422041714,0.7,0.7768189175126021,0.6111111111111112
0.7108983593049563,0.3604166666666666,0.8265602365754708,0.3666666666666667,0.7650451884071136,0.3604166666666666,0.8017536022482531,0.4583333333333332,0.6869524392803589,0.3276785714285714,0.8879611872526798,0.6458333333333333,0.8088129093167369,0.4096590909090909
0.5378645201012245,0.3313492063492063,0.8571311705634008,0.4722222222222222,0.8733934857947009,0.6984126984126984,0.8491574054147787,0.5666666666666667,0.539396491118167,0.3277777777777778,0.8178119737852046,0.5119047619047619,0.9751764383484242,0.8666666666666667
0.4257548715980374,0.2,0.6278225553217716,0.25,0.9049495058460972,1.0,0.7542018831477091,0.25,0.5339219322908385,0.3333333333333333,0.884797287855885,1.0,0.8999018141796294,1.0
0.9481876695324452,1.0,0.7732153268369018,0.1666666666666666,0.9084270336383268,1.0,0.932295706899544,1.0,0.9134439992948572,1.0,0.5784723131669653,0.25,0.9055850910480792,1.0
0.6444675286963277,0.125,0.7371795992341809,0.25,0.8288888747874036,0.5,0.8231817979910552,0.5,0.8185713843893823,0.5,0.9467676761267002,1.0,0.8147497817704017,0.5
0.5672074169568708,0.25,0.6724145595016876,0.2,0.9072278740982788,1.0,0.9072278740982788,1.0,0.4178246036247617,0.1666666666666666,0.8700592720921219,1.0,0.9238850086262383,1.0
0.9674679834891692,0.9166666666666664,0.8301894834227401,0.6,1.0,1.0,1.0,1.0,0.5430667908374095,0.3333333333333333,0.7566069581985393,0.5194805194805194,1.0,1.0
0.4639064591071928,0.1944444444444444,0.62683786073469,0.325,0.9651954696014428,0.8333333333333333,1.0,1.0,0.4913766857365099,0.25,0.9439279501848502,1.0,0.9651954696014428,0.8333333333333333
0.4518085083952146,0.125,0.7658531812739373,0.3333333333333333,0.983218440868748,1.0,0.940914767159646,1.0,0.9553284286534456,1.0,0.8705020619780731,1.0,1.0,1.0
0.9715787480216234,1.0,0.7105873285234613,0.25,0.9149707947749148,1.0,0.9786603187365026,1.0,0.9689557313628756,1.0,0.8876656211522936,1.0,0.9397750380689088,1.0
0.4838128831667768,0.2666666666666666,0.8710490642551527,0.6666666666666666,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9197207891481876,0.8333333333333333,0.8772153153380492,0.75,0.9999999999999998,1.0
0.8982018735429367,0.6916666666666667,0.9112852003630224,0.5984848484848485,0.9148013109220136,0.8166666666666667,0.997117807697952,1.0,0.7565560647846004,0.5700757575757576,0.8825282628164134,0.5159090909090909,0.9939983811030996,1.0
0.891223012016045,0.6111111111111112,0.9031521242442324,0.5909090909090909,0.8347416287886323,0.6111111111111112,0.93239476930768,0.625,0.8445252847317707,0.5909090909090909,0.9071473782402156,1.0,0.951521387383425,0.75
0.8541064367192528,0.6984126984126984,0.9313748253089033,0.7575757575757576,0.9197142186709688,0.8095238095238095,0.9361965829776688,0.8666666666666667,0.935234941802447,0.7575757575757576,0.6367897257671074,0.4249999999999999,0.9480232961018912,0.8095238095238095
0.5957005273584888,0.5,0.7598184802253278,0.5,0.8980107929739825,1.0,0.9147923521052342,1.0,0.6355380420796831,0.25,0.8616227321870962,1.0,0.912685128854516,1.0
0.6462302129493455,0.4583333333333333,0.9015805098754106,0.75,0.9134015924715544,0.7916666666666666,0.5498407734605133,0.3472222222222222,0.4843542209360028,0.2777777777777778,0.8921776538210152,0.75,0.9010126104210692,0.7666666666666666
0.2890648263178876,0.1,0.6404015779112125,0.25,1.0,1.0,1.0,1.0,0.4306765580733929,0.25,1.0,1.0,1.0,1.0
0.5720498103824561,0.3611111111111111,0.8322723238860475,0.5833333333333334,0.8543806049627761,0.75,0.9608857006116032,1.0,0.6024705010245489,0.3928571428571428,0.8884990574692628,0.7,0.9871451602176228,1.0
0.5053963380290408,0.1742424242424242,0.7320551400428001,0.3333333333333333,0.5872253873417473,0.2666666666666666,0.6392145595747756,0.3666666666666667,0.4801992632740312,0.2111111111111111,0.9003134755042498,0.8333333333333333,0.6107608260955817,0.3095238095238095
0.4964959317782765,0.1742424242424242,0.7592096053626383,0.1818181818181818,0.7997607751633862,0.5909090909090909,0.9473431839163764,1.0,0.4971688251713437,0.1534090909090909,0.8179625706685353,0.5909090909090909,0.6342774047250714,0.45
0.9595460215969994,1.0,0.7244523267058963,0.1666666666666666,0.6648720737882446,0.1666666666666666,0.9588705050561064,1.0,0.6871183339508988,0.3333333333333333,0.956381592197448,1.0,0.821858834738099,0.5
0.4306765580733929,0.25,1.0,1.0,1.0,1.0,0.6309297535714573,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4140078057902908,0.2361111111111111,0.8798013929435388,0.6111111111111112,0.9134015924715544,1.0,1.0,1.0,0.9134015924715544,1.0,0.8451850618939636,0.6111111111111112,0.9385574520455132,0.8333333333333333
0.7067185853682291,0.2916666666666666,0.9358817334716244,0.6666666666666666,0.9492870317307904,0.7,0.9112757810248006,0.6666666666666666,0.86532980968335,0.375,0.9141672110184992,0.5714285714285714,0.9624399118257908,1.0
0.8461066253242193,0.75,0.7116067789255305,0.325,0.8756769827188949,0.5,0.7300971498557661,0.5,0.8661072012350619,0.45,0.9105540437264475,1.0,0.8628662333866212,0.6666666666666666
