dataset,method,R1_F,R2_F,RL_F
cnn,pegasus__orig,0.47134563550690506,0.25751071751706417,0.35542960392454903
cnn,pegasus__sourcesent,0.46853604266651794,0.2504790645681233,0.351534891543086
cnn,bart__orig,0.4555758162211823,0.23318644225238647,0.32704687048847936
cnn,bart__sourcesent,0.4587570301267734,0.23270862129764125,0.3278417399014214
cnn,lexrank__orig,0.3730337425849895,0.15936983419285655,0.2344690820373655
cnn,lexrank__sourcesent,0.4089117821311284,0.1888729887053326,0.25140035372798447
