dataset,method,R1_F,R2_F,RL_F
xsum,pegasus__orig,0.534007173012157,0.3048512604392192,0.45380846017833537
xsum,pegasus__sourcesent,0.5048538585466811,0.2688823977355638,0.4293801959249311
xsum,bart__orig,0.5032017425210279,0.2635049313120339,0.40835242752550027
xsum,bart__sourcesent,0.49137601240761025,0.2577811876949132,0.4116400304701619
xsum,lexrank__orig,0.1984060101501355,0.030808560719258346,0.14464792838124824
xsum,lexrank__sourcesent,0.21538022816286034,0.04126017716277824,0.16005855693577295
