ROUGE-1_P,ROUGE-1_R,ROUGE-1_F,ROUGE-2_P,ROUGE-2_R,ROUGE-2_F,ROUGE-L_P,ROUGE-L_R,ROUGE-L_F
0.3275862068965517,0.5588235294117647,0.4130434782608695,0.14035087719298245,0.24242424242424243,0.17777777777777776,0.27586206896551724,0.47058823529411764,0.34782608695652173
0.55,0.559322033898305,0.5546218487394957,0.2711864406779661,0.27586206896551724,0.2735042735042735,0.4166666666666667,0.423728813559322,0.42016806722689076
0.35,0.6829268292682927,0.46280991735537186,0.189873417721519,0.375,0.25210084033613445,0.2125,0.4146341463414634,0.2809917355371901
0.5636363636363636,0.6888888888888889,0.6199999999999999,0.3148148148148148,0.38636363636363635,0.34693877551020413,0.2909090909090909,0.35555555555555557,0.32
0.4915254237288136,0.725,0.5858585858585859,0.3620689655172414,0.5384615384615384,0.4329896907216495,0.4406779661016949,0.65,0.5252525252525252
0.42857142857142855,0.5689655172413793,0.48888888888888893,0.17105263157894737,0.22807017543859648,0.19548872180451127,0.22077922077922077,0.29310344827586204,0.2518518518518518
0.423728813559322,0.5434782608695652,0.47619047619047616,0.25862068965517243,0.3333333333333333,0.29126213592233013,0.3389830508474576,0.43478260869565216,0.38095238095238093
0.3620689655172414,0.7,0.47727272727272735,0.21052631578947367,0.41379310344827586,0.27906976744186046,0.27586206896551724,0.5333333333333333,0.36363636363636365
0.2,0.3225806451612903,0.24691358024691357,0.04081632653061224,0.06666666666666667,0.050632911392405056,0.14,0.22580645161290322,0.1728395061728395
0.44,0.515625,0.4748201438848921,0.21621621621621623,0.25396825396825395,0.23357664233576642,0.2,0.234375,0.2158273381294964
0.31343283582089554,0.7,0.4329896907216495,0.15151515151515152,0.3448275862068966,0.2105263157894737,0.14925373134328357,0.3333333333333333,0.20618556701030927
0.44680851063829785,0.42,0.43298969072164945,0.21739130434782608,0.20408163265306123,0.2105263157894737,0.23404255319148937,0.22,0.2268041237113402
0.4084507042253521,0.6904761904761905,0.5132743362831858,0.2,0.34146341463414637,0.25225225225225223,0.2112676056338028,0.35714285714285715,0.2654867256637168
0.25287356321839083,0.5945945945945946,0.3548387096774194,0.11627906976744186,0.2777777777777778,0.1639344262295082,0.19540229885057472,0.4594594594594595,0.2741935483870968
0.08571428571428572,0.20689655172413793,0.12121212121212122,0.0,0.0,0.0,0.05714285714285714,0.13793103448275862,0.0808080808080808
0.23076923076923078,0.375,0.2857142857142857,0.078125,0.1282051282051282,0.0970873786407767,0.15384615384615385,0.25,0.1904761904761905
0.24615384615384617,0.42105263157894735,0.3106796116504854,0.09375,0.16216216216216217,0.11881188118811882,0.12307692307692308,0.21052631578947367,0.1553398058252427
0.11363636363636363,0.5882352941176471,0.19047619047619047,0.04597701149425287,0.25,0.07766990291262135,0.10227272727272728,0.5294117647058824,0.17142857142857143
0.45348837209302323,0.9069767441860465,0.6046511627906976,0.38823529411764707,0.7857142857142857,0.5196850393700788,0.43023255813953487,0.8604651162790697,0.5736434108527131
0.2647058823529412,0.391304347826087,0.3157894736842105,0.07462686567164178,0.1111111111111111,0.08928571428571427,0.1323529411764706,0.1956521739130435,0.15789473684210525
0.5333333333333333,0.9523809523809523,0.6837606837606837,0.4864864864864865,0.8780487804878049,0.6260869565217392,0.36,0.6428571428571429,0.4615384615384615
0.3114754098360656,0.7037037037037037,0.43181818181818177,0.11666666666666667,0.2692307692307692,0.16279069767441862,0.14754098360655737,0.3333333333333333,0.20454545454545456
0.4,0.68,0.5037037037037037,0.27380952380952384,0.46938775510204084,0.3458646616541354,0.32941176470588235,0.56,0.41481481481481486
0.32075471698113206,0.3953488372093023,0.3541666666666667,0.15384615384615385,0.19047619047619047,0.1702127659574468,0.2641509433962264,0.32558139534883723,0.29166666666666663
0.5,0.5362318840579711,0.5174825174825175,0.2465753424657534,0.2647058823529412,0.2553191489361702,0.22972972972972974,0.2463768115942029,0.23776223776223776
0.4583333333333333,0.3793103448275862,0.4150943396226415,0.2765957446808511,0.22807017543859648,0.25,0.3541666666666667,0.29310344827586204,0.32075471698113206
0.4520547945205479,0.55,0.49624060150375937,0.1388888888888889,0.1694915254237288,0.15267175572519084,0.2191780821917808,0.26666666666666666,0.24060150375939848
0.10666666666666667,0.3333333333333333,0.1616161616161616,0.0,0.0,0.0,0.06666666666666667,0.20833333333333334,0.10101010101010101
0.4666666666666667,0.5957446808510638,0.5233644859813084,0.23728813559322035,0.30434782608695654,0.26666666666666666,0.25,0.3191489361702128,0.28037383177570097
0.26,0.3939393939393939,0.3132530120481928,0.061224489795918366,0.09375,0.07407407407407406,0.22,0.3333333333333333,0.26506024096385544
0.40298507462686567,0.6923076923076923,0.5094339622641508,0.15151515151515152,0.2631578947368421,0.19230769230769232,0.2537313432835821,0.4358974358974359,0.32075471698113206
0.19298245614035087,0.3055555555555556,0.23655913978494625,0.017857142857142856,0.02857142857142857,0.021978021978021976,0.10526315789473684,0.16666666666666666,0.12903225806451615
