gptpmi,gptpmi,bertscore,bertscore,simcse,simcse,lexrank,lexrank,text-davinci-003,text-davinci-003,rouge1,rouge1,perplexity,perplexity
ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap
1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998
1.0,1.0,0.7238981630719121,0.5333333333333333,0.9852268707233874,0.9166666666666664,0.8823241842659407,0.6666666666666667,1.0,1.0,0.8894415502427393,0.7222222222222222,0.9841302506937816,1.0
0.961114708090442,0.9166666666666664,1.0,1.0,1.0,1.0,0.6747939347030874,0.4249999999999999,0.6726548327764744,0.2813852813852814,0.9906609666436668,1.0,0.9841302506937816,1.0
0.8588133017084099,0.6984126984126984,0.9256149482977668,0.8666666666666667,0.9002240588227913,0.8095238095238095,0.9111869459345774,0.8095238095238095,0.8669312931041652,0.75,0.8108008069241781,0.6984126984126984,0.6203812181819754,0.4206349206349206
0.7387205389949393,0.3277777777777778,0.7691894886434189,0.3873015873015873,0.7484780634398852,0.4444444444444444,0.6192836444906067,0.3206349206349206,0.7851686379347572,0.2738095238095238,0.9111612925996836,0.6805555555555556,0.9025021023583588,0.6464646464646464
0.9545208855356654,0.8333333333333333,0.9598545208568006,0.9166666666666664,0.8468141156227025,0.7,0.7364999665240399,0.4444444444444444,0.7446184727277205,0.5,0.9817802950803723,1.0,0.8667470460280903,0.5909090909090908
0.7141683899119814,0.5644444444444444,0.770004047691243,0.5259090909090909,0.7085228679349218,0.5255555555555554,0.8281987709055152,0.6166666666666667,0.8380361480153937,0.625,0.7033259805284982,0.5055555555555555,0.956591277102318,0.8761904761904762
0.7328286204777911,0.6388888888888888,1.0,1.0,1.0,1.0,0.9469024295259744,0.8666666666666667,0.8410177904184442,0.6111111111111112,1.0,1.0,1.0,1.0
0.500274104344259,0.1111111111111111,0.4451056520293463,0.1,0.6232653496483928,0.5,0.46124347769416,0.1666666666666666,0.6639743144614972,0.1428571428571428,0.4399406667519924,0.1666666666666666,0.8288888747874036,0.5
0.85581123552618,0.25,0.981139637331105,1.0,0.9753465284027844,1.0,0.7504816551706972,0.2,0.8369508728572851,0.2,0.8545079602778285,0.3333333333333333,0.9864454785297618,1.0
0.993054821523324,1.0,0.9692667618252692,0.8875,0.7446037305505098,0.3673611111111111,0.9083368531387898,0.6659090909090909,0.7134989257094007,0.3929924242424242,0.9341001359355708,0.8166666666666667,0.9259588881214182,0.8611111111111112
0.6613115114232802,0.5713512677798392,0.9101660810424425,0.9325396825396826,0.9157190391396371,0.947845804988662,0.8754570155985889,0.8687074829931971,0.9548191104463224,0.8809523809523809,0.9373464418453332,0.948051948051948,0.8601906872227337,0.8755411255411254
0.8670870086853021,0.5833333333333333,1.0,1.0,0.9651954696014428,0.8333333333333333,0.4384946587950029,0.1964285714285714,0.7837770425187169,0.4,0.8320121460235593,0.7,0.877499542286488,0.8333333333333333
0.9047172294870752,0.8041666666666667,0.970928643239658,0.9166666666666666,0.9999999999999998,1.0,0.8773497378596236,0.7048611111111112,0.9593350042209494,0.8611111111111112,0.9999999999999998,1.0,0.927961169374314,0.8125
0.9576158036577358,1.0,0.9772962276980494,1.0,0.7957922344892804,0.5,0.7441049841899747,0.3409090909090909,0.721454837798742,0.2019230769230769,0.958518468898922,1.0,0.984120316545534,1.0
0.9086341836323008,0.6238095238095238,0.97945300067891,0.8928571428571428,0.9464872850267372,0.8875,0.7250637373269829,0.3708333333333333,0.9410165948990504,0.6666666666666666,0.9418638116479716,0.7611111111111111,0.8684550472893696,0.5596590909090909
0.885845364664981,0.6845238095238095,0.9521827096464028,0.8928571428571428,0.9081005913992892,0.7611111111111111,0.7560424808849723,0.6220238095238095,0.8089572687231841,0.4,0.9304076903537984,0.8541666666666666,0.963319000434105,0.8541666666666666
0.9420199290108068,0.6984126984126984,0.8646585672775183,0.4444444444444444,0.8459954171409902,0.3869047619047618,0.909144595758594,0.5166666666666666,0.9326300762491796,0.8666666666666667,0.8088773012327918,0.2666666666666666,0.8130726460294951,0.3407407407407407
0.8862903723241173,0.6428571428571428,0.9906609666436668,1.0,0.9573251664526454,0.8055555555555556,0.635294218473578,0.2619047619047619,0.6372034237616732,0.25,1.0,1.0,0.8154088797271127,0.6
0.6724502988116736,0.3333333333333333,0.8865862078019409,1.0,0.8991713493420895,1.0,0.8416030557952657,0.5,0.7637523307646118,0.25,0.8201807803612292,0.5,0.8894355481400991,1.0
0.9251872454409376,0.81,0.9675774289224572,0.885,0.8792052677382591,0.7088888888888889,0.9005752180024981,0.8211111111111111,0.8601972171558558,0.7142857142857143,0.9234856909071232,0.7742424242424242,0.9000257031916264,0.7592857142857143
0.8109871398483822,0.5877344877344878,0.8189365160563099,0.5555555555555555,0.9254022947234648,0.7751683501683501,0.7555927545248677,0.5883089133089133,0.8411772812505668,0.5962301587301587,0.7576120408108661,0.4664983164983165,0.8587055146478355,0.6352813852813852
0.6625135428332625,0.4166666666666666,0.8935349950641011,0.75,0.851808039736222,0.7,0.6774193729239305,0.25,0.7837770425187169,0.4,0.7840961748322407,0.6,0.9412372913105518,1.0
0.7147904339836334,0.4821428571428571,0.9153049566920348,0.6488095238095237,0.972675631426425,0.8166666666666667,0.70486724199406,0.4154761904761904,0.8766970266722001,0.6166666666666666,0.9653298652162212,0.8125,0.880298768912773,0.54375
