,xsum_pegasus,xsum_pegasus,xsum_reference,xsum_reference,cnn_pegasus,cnn_pegasus,cnn_reference,cnn_reference
,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap
lexrank,0.7498619806507062,0.530212338820532,0.7687597478922626,0.5435177022579484,0.6598452377398689,0.4237135172124488,0.6841064247894478,0.453997095680264
bertscore,0.849881267757256,0.6877664365779612,0.8761667963982029,0.7311931066965579,0.9134083539992479,0.8536172224914212,0.8851292745529089,0.7926171985413659
rouge1,0.8475804710701504,0.6740380152505,0.8523473845918985,0.6755681437021472,0.9109729308188977,0.848428591529553,0.8983847697238035,0.8087464744642963
simcse,0.8579296990663736,0.7016302911440964,0.8660674118008814,0.7093203632324281,0.9140942723085763,0.8469171304320877,0.9047540016424788,0.8169261256045685
gptpmi,0.8193387443526912,0.6315823324279206,0.8328783993663774,0.6480207864031393,0.8069152407621283,0.6919069854646777,0.7352823930234763,0.5592252114572096
text-davinci-003,0.8233443885425736,0.5405312614556311,0.8421686316381402,0.5764079128154759,0.8094772994391651,0.5039060346111628,0.8252473651567778,0.5560631541176095
attention,0.7047940180276432,0.4756538084764375,,,0.6312442586101167,0.3543797920186809,,
perplexity,0.8976002055847744,0.775384090116233,0.8983114028404579,0.7710254249329879,0.8798277082749653,0.8138306266778489,0.8569803958391062,0.7465332659806108
