text-davinci-003,text-davinci-003,rouge1,rouge1,attention,attention,perplexity,perplexity,bertscore,bertscore,lexrank,lexrank,simcse,simcse,gptpmi,gptpmi
ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap
1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998
0.955306679176657,0.75,0.9386470997399792,0.7555555555555555,0.8959722661926245,0.7555555555555555,0.9906609666436668,1.0,0.8959722661926245,0.7555555555555555,0.8823241842659407,0.6666666666666667,1.0,1.0,1.0,1.0
0.637697981444408,0.2813852813852814,0.922229710967338,0.8666666666666667,0.8468705534245313,0.6333333333333333,0.9894634029318996,1.0,0.965107356817809,0.9166666666666664,0.7874624898697384,0.4249999999999999,0.9803186831007702,0.9166666666666664,0.986352011301478,0.9166666666666664
0.8090858090523884,0.5,0.8984512530370166,0.6428571428571428,0.6174836513378048,0.2666666666666666,0.8700531886662592,0.8333333333333333,0.8723952385943176,0.6666666666666666,0.8754388319034263,0.6666666666666666,0.9090329044004908,0.8333333333333333,0.8620882376935971,0.6666666666666666
0.6564045166147148,0.1825396825396825,0.8874207905310155,0.6666666666666666,0.7082005222561638,0.325,0.8962072697452381,0.6666666666666666,0.8404106102452792,0.6428571428571428,0.5822907158600951,0.325,0.8786539580399099,0.8333333333333333,0.6963507923745138,0.45
0.8173557181023442,0.4333333333333333,0.7484335145295854,0.4111111111111111,0.5883518898492895,0.3174603174603174,0.8773783753384314,0.6388888888888888,0.8585927949417308,0.5555555555555556,0.8991275514701205,0.7,0.7943230397541984,0.4333333333333333,0.7832443938248337,0.3833333333333333
0.8220804409483651,0.4242424242424242,0.694362394307331,0.4154761904761904,0.6775457076937392,0.3992424242424243,0.937459941150752,0.8303571428571428,0.6309539505430283,0.3492424242424242,0.8787022711620875,0.59375,0.7054601065984468,0.4833333333333333,0.8614766065304255,0.6916666666666667
0.7513878746266849,0.5666666666666667,0.9883238941670835,0.9166666666666666,0.7444095357768907,0.6791666666666667,0.9870231486416434,0.95,0.9779485338596076,0.9166666666666666,0.8859783976411133,0.8875,0.958563429687092,0.9166666666666666,0.8992655397924084,0.7708333333333333
0.6790554128630961,0.3206349206349206,0.6974053037666579,0.2944444444444444,0.7404452823274686,0.2896825396825396,0.7494518200622541,0.3055555555555555,0.5458679459142052,0.2507936507936508,0.6182024348689928,0.3055555555555555,0.6079855590324071,0.2666666666666666,0.56711839747304,0.3194444444444444
