dataset,method,R1_F,R2_F,RL_F
xsum,pegasus__orig,0.534007173012157,0.3048512604392192,0.45380846017833537
xsum,pegasus__sourcesent,0.4836053099857868,0.25621976594814144,0.4043796975025317
xsum,bart__orig,0.5032017425210279,0.2635049313120339,0.40835242752550027
xsum,bart__sourcesent,0.47286194233220297,0.2272602881434137,0.38816861339894126
xsum,lexrank__orig,0.1984060101501355,0.030808560719258346,0.14464792838124824
xsum,lexrank__sourcesent,0.23361350144671109,0.05738551984686847,0.1748655020096904
