dataset,method,R1_F,R2_F,RL_F
cnn,pegasus__orig,0.47134563550690506,0.25751071751706417,0.35542960392454903
cnn,pegasus__sourcesent,0.4754696007783605,0.25684872215491733,0.3616399905082301
cnn,bart__orig,0.4555758162211823,0.23318644225238647,0.32704687048847936
cnn,bart__sourcesent,0.475279016849652,0.24915044354629035,0.34584180247896606
cnn,lexrank__orig,0.3730337425849895,0.15936983419285655,0.2344690820373655
cnn,lexrank__sourcesent,0.45447142916304895,0.2346855259227322,0.2704191402995519
