ROUGE-1_P,ROUGE-1_R,ROUGE-1_F,ROUGE-2_P,ROUGE-2_R,ROUGE-2_F,ROUGE-L_P,ROUGE-L_R,ROUGE-L_F
0.75,0.7058823529411765,0.7272727272727272,0.4,0.375,0.38709677419354843,0.625,0.5882352941176471,0.6060606060606061
0.16666666666666666,0.10526315789473684,0.12903225806451615,0.0,0.0,0.0,0.16666666666666666,0.10526315789473684,0.12903225806451615
0.5714285714285714,0.5,0.5333333333333333,0.15,0.13043478260869565,0.13953488372093023,0.3333333333333333,0.2916666666666667,0.3111111111111111
0.9230769230769231,0.6666666666666666,0.7741935483870968,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.8461538461538461,0.6111111111111112,0.7096774193548387
0.47619047619047616,0.5263157894736842,0.5,0.15,0.16666666666666666,0.15789473684210525,0.38095238095238093,0.42105263157894735,0.4
0.4,0.5263157894736842,0.45454545454545453,0.20833333333333334,0.2777777777777778,0.2380952380952381,0.36,0.47368421052631576,0.40909090909090906
0.625,0.47619047619047616,0.5405405405405405,0.3333333333333333,0.25,0.28571428571428575,0.375,0.2857142857142857,0.3243243243243243
0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3,0.3,0.3,0.7272727272727273,0.7272727272727273,0.7272727272727273
0.4444444444444444,0.4,0.4210526315789474,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.3333333333333333,0.3,0.3157894736842105
0.3125,0.2777777777777778,0.29411764705882354,0.06666666666666667,0.058823529411764705,0.0625,0.25,0.2222222222222222,0.23529411764705882
0.5,0.34615384615384615,0.40909090909090906,0.29411764705882354,0.2,0.2380952380952381,0.2222222222222222,0.15384615384615385,0.18181818181818185
0.34782608695652173,0.4,0.37209302325581395,0.09090909090909091,0.10526315789473684,0.0975609756097561,0.34782608695652173,0.4,0.37209302325581395
0.2857142857142857,0.3,0.2926829268292683,0.05,0.05263157894736842,0.05128205128205128,0.23809523809523808,0.25,0.24390243902439024
0.5,0.3684210526315789,0.4242424242424242,0.15384615384615385,0.1111111111111111,0.12903225806451615,0.5,0.3684210526315789,0.4242424242424242
0.36363636363636365,0.42105263157894735,0.3902439024390244,0.19047619047619047,0.2222222222222222,0.20512820512820512,0.3181818181818182,0.3684210526315789,0.3414634146341463
0.6666666666666666,0.6363636363636364,0.6511627906976744,0.4,0.38095238095238093,0.3902439024390244,0.6666666666666666,0.6363636363636364,0.6511627906976744
0.8,0.6153846153846154,0.6956521739130435,0.6842105263157895,0.52,0.5909090909090909,0.75,0.5769230769230769,0.6521739130434783
0.5294117647058824,0.391304347826087,0.45,0.25,0.18181818181818182,0.2105263157894737,0.4117647058823529,0.30434782608695654,0.35
0.4117647058823529,0.3888888888888889,0.39999999999999997,0.0625,0.058823529411764705,0.06060606060606061,0.23529411764705882,0.2222222222222222,0.22857142857142856
0.6,0.42857142857142855,0.5,0.21052631578947367,0.14814814814814814,0.17391304347826086,0.35,0.25,0.2916666666666667
0.47058823529411764,0.34782608695652173,0.39999999999999997,0.25,0.18181818181818182,0.2105263157894737,0.4117647058823529,0.30434782608695654,0.35
0.34782608695652173,0.4,0.37209302325581395,0.09090909090909091,0.10526315789473684,0.0975609756097561,0.21739130434782608,0.25,0.23255813953488372
0.15384615384615385,0.125,0.13793103448275862,0.08333333333333333,0.06666666666666667,0.07407407407407407,0.15384615384615385,0.125,0.13793103448275862
0.6428571428571429,0.375,0.4736842105263159,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.5714285714285714,0.3333333333333333,0.4210526315789474
0.8461538461538461,0.4074074074074074,0.5499999999999999,0.5833333333333334,0.2692307692307692,0.3684210526315789,0.6923076923076923,0.3333333333333333,0.45
0.6,0.5769230769230769,0.5882352941176471,0.3333333333333333,0.32,0.32653061224489793,0.28,0.2692307692307692,0.27450980392156865
0.375,0.42857142857142855,0.39999999999999997,0.17391304347826086,0.2,0.18604651162790697,0.2916666666666667,0.3333333333333333,0.3111111111111111
0.43478260869565216,0.5,0.46511627906976744,0.18181818181818182,0.21052631578947367,0.1951219512195122,0.2608695652173913,0.3,0.27906976744186046
0.35294117647058826,0.46153846153846156,0.4000000000000001,0.25,0.3333333333333333,0.28571428571428575,0.35294117647058826,0.46153846153846156,0.4000000000000001
0.375,0.46153846153846156,0.41379310344827586,0.12903225806451613,0.16,0.14285714285714285,0.21875,0.2692307692307692,0.2413793103448276
0.45454545454545453,0.5,0.47619047619047616,0.19047619047619047,0.21052631578947367,0.2,0.45454545454545453,0.5,0.47619047619047616
0.42105263157894735,0.38095238095238093,0.4,0.1111111111111111,0.1,0.10526315789473685,0.3157894736842105,0.2857142857142857,0.3
0.46153846153846156,0.5217391304347826,0.4897959183673469,0.2,0.22727272727272727,0.21276595744680854,0.23076923076923078,0.2608695652173913,0.24489795918367346
0.6190476190476191,0.5909090909090909,0.6046511627906977,0.35,0.3333333333333333,0.3414634146341463,0.6190476190476191,0.5909090909090909,0.6046511627906977
0.3888888888888889,0.28,0.32558139534883723,0.11764705882352941,0.08333333333333333,0.09756097560975609,0.2777777777777778,0.2,0.23255813953488372
0.7241379310344828,0.7241379310344828,0.7241379310344829,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.4482758620689655,0.4482758620689655,0.4482758620689655
0.4,0.34782608695652173,0.37209302325581395,0.05263157894736842,0.045454545454545456,0.04878048780487805,0.25,0.21739130434782608,0.23255813953488372
0.6923076923076923,0.6428571428571429,0.6666666666666666,0.5,0.46153846153846156,0.48000000000000004,0.38461538461538464,0.35714285714285715,0.3703703703703704
0.6666666666666666,0.5,0.5714285714285715,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.6666666666666666,0.5,0.5714285714285715
0.5882352941176471,0.45454545454545453,0.5128205128205129,0.4375,0.3333333333333333,0.37837837837837834,0.5294117647058824,0.4090909090909091,0.46153846153846156
0.5882352941176471,0.35714285714285715,0.4444444444444445,0.1875,0.1111111111111111,0.13953488372093023,0.35294117647058826,0.21428571428571427,0.26666666666666666
0.6153846153846154,0.42105263157894735,0.5,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.5384615384615384,0.3684210526315789,0.4375
0.6190476190476191,0.6842105263157895,0.6500000000000001,0.35,0.3888888888888889,0.36842105263157887,0.5714285714285714,0.631578947368421,0.6
0.45,0.34615384615384615,0.3913043478260869,0.3157894736842105,0.24,0.2727272727272727,0.45,0.34615384615384615,0.3913043478260869
0.34615384615384615,0.42857142857142855,0.3829787234042554,0.12,0.15,0.1333333333333333,0.3076923076923077,0.38095238095238093,0.3404255319148936
0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6470588235294118,0.5,0.5641025641025642,0.8333333333333334,0.6521739130434783,0.7317073170731708
0.55,0.5789473684210527,0.5641025641025641,0.15789473684210525,0.16666666666666666,0.16216216216216214,0.25,0.2631578947368421,0.25641025641025644
0.43478260869565216,0.5,0.46511627906976744,0.22727272727272727,0.2631578947368421,0.24390243902439024,0.391304347826087,0.45,0.4186046511627907
0.65,0.6842105263157895,0.6666666666666667,0.42105263157894735,0.4444444444444444,0.43243243243243246,0.65,0.6842105263157895,0.6666666666666667
0.5625,0.36,0.43902439024390244,0.13333333333333333,0.08333333333333333,0.10256410256410255,0.3125,0.2,0.24390243902439027
0.375,0.2608695652173913,0.30769230769230765,0.2,0.13636363636363635,0.16216216216216214,0.25,0.17391304347826086,0.20512820512820512
0.375,0.24,0.2926829268292683,0.2,0.125,0.15384615384615385,0.25,0.16,0.19512195121951217
0.5263157894736842,0.5263157894736842,0.5263157894736842,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.47368421052631576,0.47368421052631576,0.47368421052631576
0.2,0.21428571428571427,0.20689655172413796,0.0,0.0,0.0,0.13333333333333333,0.14285714285714285,0.1379310344827586
0.34782608695652173,0.3076923076923077,0.32653061224489793,0.045454545454545456,0.04,0.0425531914893617,0.2608695652173913,0.23076923076923078,0.24489795918367346
0.7777777777777778,0.8235294117647058,0.7999999999999999,0.6470588235294118,0.6875,0.6666666666666667,0.7777777777777778,0.8235294117647058,0.7999999999999999
0.4666666666666667,0.3684210526315789,0.4117647058823529,0.2857142857142857,0.2222222222222222,0.25,0.4666666666666667,0.3684210526315789,0.4117647058823529
1.0,0.75,0.8571428571428571,0.8571428571428571,0.631578947368421,0.7272727272727273,1.0,0.75,0.8571428571428571
0.5384615384615384,0.4666666666666667,0.5,0.16,0.13793103448275862,0.14814814814814817,0.34615384615384615,0.3,0.32142857142857145
0.32,0.42105263157894735,0.3636363636363636,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.28,0.3684210526315789,0.3181818181818182
0.5263157894736842,0.4,0.45454545454545453,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.47368421052631576,0.36,0.40909090909090906
