ROUGE-1_P,ROUGE-1_R,ROUGE-1_F,ROUGE-2_P,ROUGE-2_R,ROUGE-2_F,ROUGE-L_P,ROUGE-L_R,ROUGE-L_F
0.75,0.7058823529411765,0.7272727272727272,0.4,0.375,0.38709677419354843,0.625,0.5882352941176471,0.6060606060606061
0.23076923076923078,0.15789473684210525,0.18749999999999997,0.0,0.0,0.0,0.15384615384615385,0.10526315789473684,0.125
0.8095238095238095,0.7083333333333334,0.7555555555555556,0.45,0.391304347826087,0.4186046511627907,0.6190476190476191,0.5416666666666666,0.5777777777777778
0.6875,0.6111111111111112,0.6470588235294118,0.4,0.35294117647058826,0.37500000000000006,0.625,0.5555555555555556,0.5882352941176471
0.47619047619047616,0.5263157894736842,0.5,0.15,0.16666666666666666,0.15789473684210525,0.38095238095238093,0.42105263157894735,0.4
0.52,0.6842105263157895,0.5909090909090909,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.48,0.631578947368421,0.5454545454545454
0.4666666666666667,0.3333333333333333,0.3888888888888889,0.0,0.0,0.0,0.26666666666666666,0.19047619047619047,0.2222222222222222
0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3,0.3,0.3,0.7272727272727273,0.7272727272727273,0.7272727272727273
0.35294117647058826,0.3,0.3243243243243243,0.0,0.0,0.0,0.17647058823529413,0.15,0.16216216216216214
0.4,0.3333333333333333,0.3636363636363636,0.21428571428571427,0.17647058823529413,0.1935483870967742,0.4,0.3333333333333333,0.3636363636363636
0.4117647058823529,0.2692307692307692,0.3255813953488372,0.1875,0.12,0.14634146341463414,0.35294117647058826,0.23076923076923078,0.2790697674418605
0.34782608695652173,0.4,0.37209302325581395,0.13636363636363635,0.15789473684210525,0.14634146341463414,0.30434782608695654,0.35,0.3255813953488372
0.7,0.35,0.4666666666666667,0.5555555555555556,0.2631578947368421,0.35714285714285715,0.7,0.35,0.4666666666666667
0.5,0.3684210526315789,0.4242424242424242,0.15384615384615385,0.1111111111111111,0.12903225806451615,0.5,0.3684210526315789,0.4242424242424242
0.42857142857142855,0.3157894736842105,0.36363636363636365,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.42857142857142855,0.3157894736842105,0.36363636363636365
0.5,0.45454545454545453,0.47619047619047616,0.21052631578947367,0.19047619047619047,0.2,0.5,0.45454545454545453,0.47619047619047616
0.8,0.6153846153846154,0.6956521739130435,0.6842105263157895,0.52,0.5909090909090909,0.75,0.5769230769230769,0.6521739130434783
0.5294117647058824,0.391304347826087,0.45,0.25,0.18181818181818182,0.2105263157894737,0.4117647058823529,0.30434782608695654,0.35
0.391304347826087,0.5,0.4390243902439025,0.045454545454545456,0.058823529411764705,0.05128205128205128,0.21739130434782608,0.2777777777777778,0.24390243902439024
0.5,0.42857142857142855,0.4615384615384615,0.13043478260869565,0.1111111111111111,0.12,0.2916666666666667,0.25,0.2692307692307692
0.6923076923076923,0.391304347826087,0.5,0.4166666666666667,0.22727272727272727,0.29411764705882354,0.6153846153846154,0.34782608695652173,0.4444444444444444
0.47368421052631576,0.45,0.46153846153846156,0.2777777777777778,0.2631578947368421,0.27027027027027023,0.42105263157894735,0.4,0.41025641025641024
0.16666666666666666,0.1875,0.17647058823529413,0.058823529411764705,0.06666666666666667,0.0625,0.16666666666666666,0.1875,0.17647058823529413
0.5333333333333333,0.3333333333333333,0.4102564102564102,0.14285714285714285,0.08695652173913043,0.1081081081081081,0.4666666666666667,0.2916666666666667,0.35897435897435903
0.8461538461538461,0.4074074074074074,0.5499999999999999,0.5833333333333334,0.2692307692307692,0.3684210526315789,0.6923076923076923,0.3333333333333333,0.45
0.5833333333333334,0.5384615384615384,0.5599999999999999,0.34782608695652173,0.32,0.3333333333333333,0.2916666666666667,0.2692307692307692,0.27999999999999997
0.6111111111111112,0.5238095238095238,0.5641025641025642,0.35294117647058826,0.3,0.3243243243243243,0.5,0.42857142857142855,0.4615384615384615
0.47368421052631576,0.45,0.46153846153846156,0.16666666666666666,0.15789473684210525,0.16216216216216214,0.2631578947368421,0.25,0.25641025641025644
0.2777777777777778,0.38461538461538464,0.3225806451612903,0.058823529411764705,0.08333333333333333,0.06896551724137931,0.2222222222222222,0.3076923076923077,0.2580645161290323
0.4230769230769231,0.4230769230769231,0.4230769230769231,0.24,0.24,0.24,0.3076923076923077,0.3076923076923077,0.3076923076923077
0.3333333333333333,0.45,0.3829787234042553,0.15384615384615385,0.21052631578947367,0.17777777777777778,0.2962962962962963,0.4,0.3404255319148936
0.42105263157894735,0.38095238095238093,0.4,0.1111111111111111,0.1,0.10526315789473685,0.3157894736842105,0.2857142857142857,0.3
0.5,0.391304347826087,0.4390243902439025,0.17647058823529413,0.13636363636363635,0.15384615384615383,0.2222222222222222,0.17391304347826086,0.1951219512195122
0.34615384615384615,0.4090909090909091,0.37500000000000006,0.16,0.19047619047619047,0.17391304347826086,0.3076923076923077,0.36363636363636365,0.33333333333333337
0.4444444444444444,0.32,0.37209302325581395,0.35294117647058826,0.25,0.2926829268292683,0.4444444444444444,0.32,0.37209302325581395
0.4444444444444444,0.27586206896551724,0.3404255319148936,0.17647058823529413,0.10714285714285714,0.13333333333333333,0.2222222222222222,0.13793103448275862,0.1702127659574468
0.4166666666666667,0.43478260869565216,0.425531914893617,0.08695652173913043,0.09090909090909091,0.08888888888888888,0.2916666666666667,0.30434782608695654,0.2978723404255319
0.46153846153846156,0.42857142857142855,0.4444444444444445,0.16666666666666666,0.15384615384615385,0.16,0.46153846153846156,0.42857142857142855,0.4444444444444445
0.42857142857142855,0.3,0.3529411764705882,0.15384615384615385,0.10526315789473684,0.125,0.42857142857142855,0.3,0.3529411764705882
0.75,0.4090909090909091,0.5294117647058824,0.6363636363636364,0.3333333333333333,0.43749999999999994,0.75,0.4090909090909091,0.5294117647058824
0.5,0.42857142857142855,0.4615384615384615,0.2608695652173913,0.2222222222222222,0.24,0.25,0.21428571428571427,0.23076923076923075
0.5714285714285714,0.42105263157894735,0.48484848484848486,0.3076923076923077,0.2222222222222222,0.2580645161290323,0.5,0.3684210526315789,0.4242424242424242
0.35,0.3684210526315789,0.358974358974359,0.21052631578947367,0.2222222222222222,0.21621621621621623,0.3,0.3157894736842105,0.3076923076923077
0.391304347826087,0.34615384615384615,0.36734693877551017,0.2727272727272727,0.24,0.2553191489361702,0.391304347826087,0.34615384615384615,0.36734693877551017
0.45,0.42857142857142855,0.4390243902439024,0.21052631578947367,0.2,0.20512820512820512,0.45,0.42857142857142855,0.4390243902439024
0.9444444444444444,0.7391304347826086,0.8292682926829269,0.6470588235294118,0.5,0.5641025641025642,0.8333333333333334,0.6521739130434783,0.7317073170731708
0.5714285714285714,0.631578947368421,0.6,0.1,0.1111111111111111,0.10526315789473685,0.47619047619047616,0.5263157894736842,0.5
0.4,0.4,0.4000000000000001,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.35,0.35,0.35
0.65,0.6842105263157895,0.6666666666666667,0.42105263157894735,0.4444444444444444,0.43243243243243246,0.65,0.6842105263157895,0.6666666666666667
0.7142857142857143,0.4,0.5128205128205129,0.6923076923076923,0.375,0.48648648648648646,0.7142857142857143,0.4,0.5128205128205129
0.375,0.2608695652173913,0.30769230769230765,0.2,0.13636363636363635,0.16216216216216214,0.25,0.17391304347826086,0.20512820512820512
0.3333333333333333,0.2,0.25,0.07142857142857142,0.041666666666666664,0.052631578947368425,0.2,0.12,0.15
0.38461538461538464,0.5263157894736842,0.4444444444444444,0.16,0.2222222222222222,0.18604651162790697,0.34615384615384615,0.47368421052631576,0.39999999999999997
0.5384615384615384,0.5,0.5185185185185186,0.16666666666666666,0.15384615384615385,0.16,0.46153846153846156,0.42857142857142855,0.4444444444444445
0.2727272727272727,0.23076923076923078,0.24999999999999994,0.0,0.0,0.0,0.18181818181818182,0.15384615384615385,0.16666666666666669
0.6,0.7058823529411765,0.6486486486486486,0.42105263157894735,0.5,0.45714285714285713,0.6,0.7058823529411765,0.6486486486486486
0.6,0.47368421052631576,0.5294117647058824,0.35714285714285715,0.2777777777777778,0.31250000000000006,0.6,0.47368421052631576,0.5294117647058824
1.0,0.75,0.8571428571428571,0.8571428571428571,0.631578947368421,0.7272727272727273,1.0,0.75,0.8571428571428571
0.75,0.5,0.6,0.42105263157894735,0.27586206896551724,0.3333333333333333,0.5,0.3333333333333333,0.4
0.35714285714285715,0.2631578947368421,0.30303030303030304,0.07692307692307693,0.05555555555555555,0.06451612903225808,0.35714285714285715,0.2631578947368421,0.30303030303030304
0.5294117647058824,0.36,0.42857142857142855,0.1875,0.125,0.15,0.4117647058823529,0.28,0.3333333333333333
0.5909090909090909,0.5416666666666666,0.5652173913043478,0.14285714285714285,0.13043478260869565,0.13636363636363635,0.5,0.4583333333333333,0.4782608695652174
