ROUGE-1_P,ROUGE-1_R,ROUGE-1_F,ROUGE-2_P,ROUGE-2_R,ROUGE-2_F,ROUGE-L_P,ROUGE-L_R,ROUGE-L_F
0.45454545454545453,0.4411764705882353,0.4477611940298507,0.1875,0.18181818181818182,0.1846153846153846,0.30303030303030304,0.29411764705882354,0.29850746268656714
0.5769230769230769,0.5084745762711864,0.5405405405405405,0.2549019607843137,0.22413793103448276,0.23853211009174313,0.2692307692307692,0.23728813559322035,0.2522522522522523
0.5714285714285714,0.7804878048780488,0.6597938144329897,0.43636363636363634,0.6,0.5052631578947367,0.375,0.5121951219512195,0.4329896907216495
0.5576923076923077,0.6444444444444445,0.5979381443298969,0.3333333333333333,0.38636363636363635,0.35789473684210527,0.4423076923076923,0.5111111111111111,0.4742268041237113
0.6521739130434783,0.75,0.6976744186046512,0.4,0.46153846153846156,0.42857142857142855,0.45652173913043476,0.525,0.48837209302325585
0.47058823529411764,0.5517241379310345,0.507936507936508,0.19402985074626866,0.22807017543859648,0.2096774193548387,0.3235294117647059,0.3793103448275862,0.3492063492063492
0.4492753623188406,0.6739130434782609,0.5391304347826086,0.3088235294117647,0.4666666666666667,0.37168141592920356,0.42028985507246375,0.6304347826086957,0.5043478260869565
0.4186046511627907,0.6,0.49315068493150693,0.2619047619047619,0.3793103448275862,0.30985915492957744,0.37209302325581395,0.5333333333333333,0.4383561643835616
0.29411764705882354,0.3225806451612903,0.3076923076923077,0.15151515151515152,0.16666666666666666,0.15873015873015872,0.17647058823529413,0.1935483870967742,0.18461538461538463
0.7142857142857143,0.46875,0.5660377358490566,0.4878048780487805,0.31746031746031744,0.3846153846153846,0.5476190476190477,0.359375,0.4339622641509434
0.4634146341463415,0.6333333333333333,0.5352112676056339,0.2,0.27586206896551724,0.2318840579710145,0.3170731707317073,0.43333333333333335,0.36619718309859156
0.3953488372093023,0.34,0.3655913978494624,0.21428571428571427,0.1836734693877551,0.19780219780219782,0.3023255813953488,0.26,0.27956989247311825
0.6756756756756757,0.5952380952380952,0.6329113924050633,0.4722222222222222,0.4146341463414634,0.4415584415584415,0.5405405405405406,0.47619047619047616,0.5063291139240507
0.5151515151515151,0.4594594594594595,0.48571428571428577,0.34375,0.3055555555555556,0.3235294117647059,0.36363636363636365,0.32432432432432434,0.34285714285714286
0.42857142857142855,0.41379310344827586,0.42105263157894735,0.1111111111111111,0.10714285714285714,0.10909090909090909,0.2857142857142857,0.27586206896551724,0.28070175438596495
0.28846153846153844,0.375,0.32608695652173914,0.11764705882352941,0.15384615384615385,0.13333333333333333,0.15384615384615385,0.2,0.17391304347826086
0.5294117647058824,0.7105263157894737,0.6067415730337078,0.28,0.3783783783783784,0.3218390804597701,0.37254901960784315,0.5,0.42696629213483145
0.3157894736842105,0.7058823529411765,0.43636363636363634,0.24324324324324326,0.5625,0.339622641509434,0.3157894736842105,0.7058823529411765,0.43636363636363634
0.532258064516129,0.7674418604651163,0.6285714285714286,0.4918032786885246,0.7142857142857143,0.5825242718446602,0.5161290322580645,0.7441860465116279,0.6095238095238095
0.4727272727272727,0.5652173913043478,0.5148514851485148,0.2962962962962963,0.35555555555555557,0.3232323232323232,0.2545454545454545,0.30434782608695654,0.2772277227722772
0.36363636363636365,0.47619047619047616,0.41237113402061853,0.16666666666666666,0.21951219512195122,0.18947368421052632,0.23636363636363636,0.30952380952380953,0.26804123711340205
0.39215686274509803,0.7407407407407407,0.5128205128205128,0.22,0.4230769230769231,0.28947368421052627,0.3137254901960784,0.5925925925925926,0.4102564102564103
0.375,0.6,0.4615384615384615,0.24050632911392406,0.3877551020408163,0.296875,0.3,0.48,0.3692307692307692
0.8157894736842105,0.7209302325581395,0.765432098765432,0.6216216216216216,0.5476190476190477,0.5822784810126581,0.7368421052631579,0.6511627906976745,0.6913580246913581
0.7435897435897436,0.42028985507246375,0.537037037037037,0.5,0.27941176470588236,0.3584905660377359,0.5897435897435898,0.3333333333333333,0.4259259259259259
0.7088607594936709,0.9655172413793104,0.8175182481751826,0.6025641025641025,0.8245614035087719,0.6962962962962963,0.6962025316455697,0.9482758620689655,0.8029197080291972
0.5645161290322581,0.5833333333333334,0.5737704918032787,0.2459016393442623,0.2542372881355932,0.24999999999999994,0.3709677419354839,0.38333333333333336,0.3770491803278688
0.5116279069767442,0.9166666666666666,0.6567164179104478,0.4523809523809524,0.8260869565217391,0.5846153846153845,0.4883720930232558,0.875,0.6268656716417911
0.5161290322580645,0.3404255319148936,0.41025641025641024,0.23333333333333334,0.15217391304347827,0.18421052631578946,0.4838709677419355,0.3191489361702128,0.38461538461538464
0.6756756756756757,0.7575757575757576,0.7142857142857142,0.5555555555555556,0.625,0.5882352941176471,0.6756756756756757,0.7575757575757576,0.7142857142857142
0.6190476190476191,0.6666666666666666,0.6419753086419754,0.4634146341463415,0.5,0.48101265822784817,0.5952380952380952,0.6410256410256411,0.617283950617284
0.6944444444444444,0.6944444444444444,0.6944444444444444,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.6388888888888888,0.6388888888888888,0.6388888888888888
