rouge1,rouge1,simcse,simcse,gptpmi,gptpmi,bertscore,bertscore,text-davinci-003,text-davinci-003,perplexity,perplexity,lexrank,lexrank,attention,attention
ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap,ndcg,ap
0.8861874166529109,1.0,0.9364501857286788,1.0,0.5220057483349771,0.3333333333333333,0.8908104128290953,1.0,0.7311278392920066,0.5,0.8828080183702031,1.0,0.4489371437866196,0.1428571428571428,0.4877620991944759,0.25
0.6787622294601762,0.5138888888888888,0.5931729515195113,0.4206349206349206,0.7566069581985393,0.5194805194805194,0.6340499455108035,0.4428571428571428,0.8184852748890714,0.5,0.8022880626915012,0.5909090909090908,0.4647850513773318,0.2452380952380952,0.4858002754159279,0.2666666666666666
0.9326920511937178,0.8333333333333333,0.9690768164202486,1.0,0.9325793835528672,0.8333333333333333,0.8915769937881308,0.7,0.7910153312165943,0.5833333333333334,0.783921161938578,0.5833333333333334,0.6254995350679894,0.1833333333333333,0.566074034851478,0.2361111111111111
0.524916111897729,0.3277777777777778,0.6719882468370723,0.4999999999999999,0.4480957561379975,0.2242424242424242,0.5316900945208329,0.3416666666666666,0.769429836420654,0.4761904761904761,0.8307351058665283,0.6388888888888888,0.5094973353267046,0.2777777777777778,0.5780136823717547,0.3888888888888889
0.9573251664526454,0.8055555555555556,0.9852268707233874,0.9166666666666664,0.6276162049613192,0.3277777777777778,0.9852268707233874,0.9166666666666664,0.9404089055688762,0.6944444444444444,0.9362636145268496,0.9166666666666664,0.6048057360986825,0.2896825396825396,0.8201300966770226,0.625
0.907344118772348,1.0,0.9139991001100872,1.0,0.676626590317332,0.5888888888888889,0.9675179513224276,1.0,0.9114644352273612,0.75,0.5845301604029309,0.35,0.7723749250922803,0.7222222222222222,0.5412250223094639,0.2869047619047619
0.954953358230102,1.0,0.963598850893338,1.0,0.8864643945764745,1.0,0.9231847732532846,1.0,0.86454759245011,0.5,0.6183159257278273,0.125,0.6584034167093018,0.2,0.5140865033851438,0.1666666666666666
0.9556956695617674,1.0,0.7040965536719686,0.5833333333333333,0.9439279501848502,1.0,0.9556956695617674,1.0,0.7320551400428001,0.3333333333333333,0.8716282305134372,0.8333333333333333,0.832282478286745,0.625,0.5827029128670688,0.1818181818181818
0.6588744127694828,0.5,0.6691919031675041,0.5,0.6227358847056094,0.5,0.6691919031675041,0.5,0.7036602683740135,0.1666666666666666,0.894632015448076,1.0,0.6584645692843069,0.125,0.5601010984314498,0.0909090909090909
0.9238850086262383,1.0,0.8868854556705135,1.0,0.6150170646154386,0.5,0.9238850086262383,1.0,0.6280415319909943,0.1666666666666666,0.9238850086262383,1.0,0.5672074169568708,0.25,0.4999099249152905,0.0909090909090909
0.8821211986607034,0.5,1.0,1.0,0.8147497817704017,0.5,0.8599797111848091,0.5,0.7533759875681859,0.2,0.8115169143912432,0.5,0.8599797111848091,0.5,0.5601010984314498,0.0909090909090909
0.8936311135114173,1.0,0.8993210596659086,1.0,0.9099563651613164,1.0,0.9251535209854916,1.0,0.7244523267058963,0.1666666666666666,0.8423836284474775,1.0,0.5071873702482234,0.1,0.5418526458237481,0.0769230769230769
0.9032382009812364,1.0,0.9836747483501008,1.0,0.9689557313628756,1.0,0.9032382009812364,1.0,0.7903464956263035,0.3333333333333333,0.8660578619991309,1.0,0.9715787480216234,1.0,0.5418526458237481,0.0769230769230769
0.9639796713296852,1.0,0.99690263906339,1.0,0.853292933901796,0.5909090909090908,0.8737528380211972,0.7,0.9436919691209072,0.7575757575757576,0.7794238789005268,0.5285714285714286,0.8906021849811621,0.6333333333333333,0.7599491494243745,0.2727272727272727
0.8591856380075888,1.0,0.8889959315582048,1.0,0.7264143050047895,0.25,0.8998113131983237,1.0,0.7890738646774414,0.3333333333333333,0.8528041272706365,1.0,0.6218687133117046,0.5,0.6003414768575565,0.0833333333333333
0.8682767910287842,1.0,0.8776179718676119,1.0,0.7059324984594564,0.3333333333333333,0.8997991985028584,1.0,0.8900092610232759,0.5,0.846266142379395,1.0,0.4587270167572706,0.1,0.5582178831573066,0.0833333333333333
0.7542888272441393,0.4166666666666666,0.7197988315099447,0.2916666666666666,0.6064092711410928,0.2666666666666666,0.715910168414753,0.3333333333333333,0.7614808830634576,0.25,0.7066179546841783,0.1909090909090909,0.6254655971106926,0.3333333333333333,0.6274139924410902,0.1818181818181818
1.0,1.0,0.8213137146137827,0.5,0.9726097514324384,1.0,1.0,1.0,0.8597458202273269,0.3333333333333333,0.8754675310861953,1.0,1.0,1.0,0.5300357670203313,0.3333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8154648767857285,0.5,1.0,1.0,0.4306765580733929,0.25,0.6309297535714573,0.5
0.9180385079206222,1.0,1.0,1.0,0.9243382314975352,1.0,0.9180385079206222,1.0,0.9382753303393702,1.0,0.9327783893101108,1.0,0.4382444959756785,0.2,0.639909328045346,0.5
0.9582346783769864,0.9166666666666664,0.9253363394621188,0.8666666666666667,0.9576019856696366,0.9166666666666664,0.9268836967188284,0.9166666666666664,0.7081568465646099,0.3777777777777777,0.9246161175873544,0.7777777777777777,0.6559970827597396,0.3277777777777778,0.5973048280187103,0.2142857142857142
0.9187287857079144,0.6805555555555556,0.9349542960925066,0.7916666666666666,0.9172263934454236,0.6428571428571428,0.9222466216122528,0.6984126984126984,0.9027600715275244,0.75,0.8320319409874037,0.6324786324786325,0.6507874742480521,0.4102564102564102,0.6312736927240707,0.2142857142857142
