ROUGE-1_P,ROUGE-1_R,ROUGE-1_F,ROUGE-2_P,ROUGE-2_R,ROUGE-2_F,ROUGE-L_P,ROUGE-L_R,ROUGE-L_F
0.7058823529411765,0.7058823529411765,0.7058823529411765,0.375,0.375,0.375,0.5882352941176471,0.5882352941176471,0.5882352941176471
0.09523809523809523,0.10526315789473684,0.1,0.0,0.0,0.0,0.09523809523809523,0.10526315789473684,0.1
0.7647058823529411,0.5416666666666666,0.6341463414634146,0.1875,0.13043478260869565,0.15384615384615383,0.4117647058823529,0.2916666666666667,0.34146341463414637
0.5263157894736842,0.5555555555555556,0.5405405405405405,0.2222222222222222,0.23529411764705882,0.22857142857142856,0.47368421052631576,0.5,0.4864864864864865
0.6111111111111112,0.5789473684210527,0.5945945945945946,0.29411764705882354,0.2777777777777778,0.28571428571428575,0.4444444444444444,0.42105263157894735,0.43243243243243246
0.35714285714285715,0.2631578947368421,0.30303030303030304,0.15384615384615385,0.1111111111111111,0.12903225806451615,0.35714285714285715,0.2631578947368421,0.30303030303030304
0.2391304347826087,0.5238095238095238,0.32835820895522383,0.0,0.0,0.0,0.10869565217391304,0.23809523809523808,0.1492537313432836
0.7777777777777778,0.6363636363636364,0.7000000000000001,0.5,0.4,0.4444444444444445,0.7777777777777778,0.6363636363636364,0.7000000000000001
0.6666666666666666,0.4,0.5,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.5833333333333334,0.35,0.4375
0.6666666666666666,0.5555555555555556,0.606060606060606,0.42857142857142855,0.35294117647058826,0.3870967741935484,0.5333333333333333,0.4444444444444444,0.4848484848484848
0.4166666666666667,0.38461538461538464,0.4,0.21739130434782608,0.2,0.20833333333333331,0.3333333333333333,0.3076923076923077,0.32
0.6,0.45,0.5142857142857143,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.4,0.3,0.34285714285714286
0.5384615384615384,0.35,0.4242424242424242,0.16666666666666666,0.10526315789473684,0.12903225806451615,0.38461538461538464,0.25,0.30303030303030304
0.5714285714285714,0.42105263157894735,0.48484848484848486,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.5,0.3684210526315789,0.4242424242424242
0.45,0.47368421052631576,0.46153846153846156,0.21052631578947367,0.2222222222222222,0.21621621621621623,0.3,0.3157894736842105,0.3076923076923077
0.3181818181818182,0.3181818181818182,0.3181818181818182,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.22727272727272727,0.22727272727272727,0.22727272727272727
0.8235294117647058,0.5384615384615384,0.6511627906976744,0.6875,0.44,0.5365853658536586,0.7647058823529411,0.5,0.6046511627906976
0.6363636363636364,0.6086956521739131,0.6222222222222223,0.3333333333333333,0.3181818181818182,0.3255813953488372,0.5454545454545454,0.5217391304347826,0.5333333333333332
0.5,0.4444444444444444,0.47058823529411764,0.06666666666666667,0.058823529411764705,0.0625,0.3125,0.2777777777777778,0.29411764705882354
